source,average_price,listing_count,listings_known_duration,average_cost_per_day
onat,29780.0,20,20,1024.867446548481
ouedkniss,102460.33333333333,69,0,
ouedkniss_location_vacances,217894.81666666668,60,0,
ouedkniss_voyages_tourisme,95289.58571428571,70,0,
ss_travel,47666.666666666664,6,6,9284.920634920634
