name,type,location,price,duration,rating,cost_per_day,cluster,cluster_label
Réservation d'Hotels confortable prix imbattable allant jusqu' a 40% de remise,hotel,Maneyad travel,1.0,1.0,,1.0,2,budget
RENOVATION ET AMENAGEMENT APPATEMENT HOTEL ET VILLA,hotel,durub designe,1.0,1.0,,1.0,2,budget
Parabole hôtels résidences collectif,hotel,Z SAT,1.0,1.0,,1.0,2,budget
RÉSERVATION HOTEL CONFIRMÉE,hotel,EL KINANA VOYAGE,1000.0,1.0,,1000.0,2,budget
VISA EGYPTE EXPRESSE,offer,S.A.R.L ESSAFARIA TRAVEL,1.0,1.0,,1.0,2,budget
Patisseri briochard cafétéria hôtels,hotel,Autre,15.0,1.0,,15.0,2,budget
billet et hôtels,hotel,Genius Travel,1.0,1.0,,1.0,2,budget
Reservation d'hotels partout dans le monde,hotel,NATIONAL TRESOR VOYAGE,15000.0,1.0,,15000.0,2,budget
TABLE & Chaises Restaurants /Cafétérias /Hôtels /Maisons,hotel,Future Meuble,1.0,1.0,,1.0,2,budget
Moquette pour hôtel et salle de conférence,hotel,Importation moquette gazon gerflex,123.0,1.0,,123.0,2,budget
Voyage Organisé Azerbaïdjan 2026 ( Bakou / Gabala / Sheki) (Visa / Vol / Hôtel) Départ Alger,hotel,Non Stop Travel,219000.0,1.0,,219000.0,0,mid-range
Voyage Organisé Tunisie Avril 2026 | Hammamet & Sousse | Vol Inclus | Hôtel 4/5 | 8 Jours,hotel,Non Stop Travel,59999.0,1.0,,59999.0,2,budget
"Aménagements cuisine professionnels: restaurant, hôtels, fast-food ,pizzeria ,base de vie",hotel,Cuisinox Algérie,217.0,1.0,,217.0,2,budget
"PROMO SUR ISTANBUL AVRIL , DIFFERENTS HOTELS, A PARTIR DE 112000 DA SEULEMENT!!",hotel,Aquasun,112000.0,1.0,,112000.0,2,budget
TABLE & Chaises en HÊTRE Restaurants /Cafétérias /Hôtels /Cuisine,hotel,Future Meuble,1.0,1.0,,1.0,2,budget
"Mobilier de jardin, hôtels, restaurants et grandes surfaces ( 1er choix d'importation)",hotel,Royal furniture,1.0,1.0,,1.0,2,budget
Valise de voyage en abs,offer,CMA OFFICE,8040.0,1.0,,8040.0,2,budget
FORMATION AGENT DE VOYAGE وكيل سياحة وأسفار,offer,maitre voyage,15000.0,1.0,,15000.0,2,budget
chaise roulante avion voyage,offer,ARMED,1.0,1.0,,1.0,2,budget
Voyage organisé omra,offer,Talamou voyage,250000.0,1.0,,250000.0,0,mid-range
Masque de Sommeil 3D Ergonomique - Occultation Totale & Confort Voyage,offer,MATOS EXPEDITION,600.0,1.0,,600.0,2,budget
Permis international,offer,Talamou voyage,20000.0,1.0,,20000.0,2,budget
Visa CUBA,offer,EL KINANA VOYAGE,1.0,1.0,,1.0,2,budget
Offre Visa Qatar,offer,Talamou voyage,16000.0,1.0,,16000.0,2,budget
Permis de conduire international,offer,Talamou voyage,20000.0,1.0,,20000.0,2,budget
Voyage Organisé ISTANBUL,offer,HAKAN VOYAGE,119000.0,1.0,,119000.0,2,budget
VOYAGE ORGANISE BALI 2026,offer,NATIONAL TRESOR VOYAGE,349999.0,1.0,,349999.0,0,mid-range
Directeur Technique agence de voyage -مدير تقني وكالة سياحة و أسفار,offer,Tourisme & Gastronomie,1.0,1.0,,1.0,2,budget
VOYAGE ORGANISE CHINE FOIRE DE CANTON,offer,Agence Rise up Travel,345000.0,1.0,,345000.0,0,mid-range
voyage istanbul,offer,zims travel,120000.0,1.0,,120000.0,2,budget
Voyage organisé Istanbul,offer,Nasser Tours,127000.0,1.0,,127000.0,2,budget
Voyage organisée Azerbaidjan,offer,Nasser Tours,219000.0,1.0,,219000.0,0,mid-range
Voyage orgnisée Malaisie,offer,Nasser Tours,211000.0,1.0,,211000.0,0,mid-range
voyage organisé AZERBAIDJAN MARS,offer,NATIONAL TRESOR VOYAGE,219000.0,1.0,,219000.0,0,mid-range
grand sac de voyage seventy original,offer,Sacs à main,15000.0,1.0,,15000.0,2,budget
VISA THAILANDE,offer,Walking tours,18000.0,1.0,,18000.0,2,budget
voyages tunis par bus hotel soviva,offer,Costa Voyages,39990.0,1.0,,39990.0,2,budget
VISA DUBAI,offer,Walking tours,22000.0,1.0,,22000.0,2,budget
VISA ELECTRONIQUE,offer,NATIONAL TRESOR VOYAGE,1.0,1.0,,1.0,2,budget
Location vacances Appartement F2 Alger Bachdjerrah,offer,Appartement,8000.0,1.0,,8000.0,2,budget
Location vacances Appartement F3 Oran Bir el djir,offer,MR Oran Location,8000.0,1.0,,8000.0,2,budget
Location vacances Appartement F5 Alger Zeralda,offer,Icosuimimmo,150000.0,1.0,,150000.0,2,budget
VISA EGYPTE,offer,Walking tours,3000.0,1.0,,3000.0,2,budget
Location vacances Villa Boumerdès Boumerdes,offer,Villa,1000.0,1.0,,1000.0,2,budget
VISA CHINE PREMIERE DEMANDE,offer,Agence Rise up Travel,15000.0,1.0,,15000.0,2,budget
Location vacances Appartement Alger Bordj el kiffan,offer,Talamou voyage,15000.0,1.0,,15000.0,2,budget
Location vacances Appartement F2 Alger Ben aknoun,offer,Garden résidence,16000.0,1.0,,16000.0,2,budget
PERMIS INTERNATIONAL USA (رخصة سياقة دولية (صالحة 10 سنوات,offer,EL KINANA VOYAGE,12000.0,1.0,,12000.0,2,budget
Azerbaïdjan,offer,IDCOM TRAVEL,13500.0,1.0,,13500.0,2,budget
Permis de conduire International 10 ans,offer,S.A.R.L ESSAFARIA TRAVEL,13000.0,1.0,,13000.0,2,budget
Location vacances Appartement Boumerdès Boumerdes,offer,Appartement,4500.0,1.0,,4500.0,2,budget
Location vacances Appartement Boumerdès Corso,offer,Appartement,5000.0,1.0,,5000.0,2,budget
Location vacances Villa Alger Bordj el bahri,offer,Talamou voyage,11.0,1.0,,11.0,2,budget
Visa china,offer,Talamou voyage,22000.0,1.0,,22000.0,2,budget
RESIDENCE QATAR OFFRE SPECIALE HOMMES & FEMMES إقامة قطر,offer,NATIONAL TRESOR VOYAGE,99000.0,1.0,,99000.0,2,budget
Location vacances Appartement F3 Alger Bordj el bahri,offer,Appartement,6000.0,1.0,,6000.0,2,budget
